timestamp,symbol,direction,size,engine_source,confidence,regime_label,pair_id,trend_p_up,trend_p_down,decision_threshold,trend_model_version,mode
2019-01-10T00:00:00+00:00,EURUSD,flat,0.0,trend,0.586651721101368,TREND,,0.41334827889863196,0.586651721101368,0.7,in_memory,trend_only
2019-01-10T00:00:00+00:00,GBPUSD,short,1.0,trend,0.7030552919057722,TREND,,0.2969447080942278,0.7030552919057722,0.7,in_memory,trend_only
2019-01-10T00:00:00+00:00,USDJPY,flat,0.0,trend,0.5611097690507698,TREND,,0.5611097690507698,0.4388902309492302,0.7,in_memory,trend_only
2019-01-10T00:00:00+00:00,AUDUSD,long,1.0,trend,0.728535314132659,TREND,,0.728535314132659,0.27146468586734096,0.7,in_memory,trend_only
2019-01-10T00:00:00+00:00,USDCAD,flat,0.0,trend,0.5926824426627354,TREND,,0.4073175573372646,0.5926824426627354,0.7,in_memory,trend_only
2019-01-11T00:00:00+00:00,EURUSD,flat,0.0,trend,0.5245590670190523,CHOP,,0.4754409329809477,0.5245590670190523,0.7,in_memory,trend_only
2019-01-11T00:00:00+00:00,GBPUSD,flat,0.0,trend,0.6390136335372456,CHOP,,0.36098636646275434,0.6390136335372456,0.7,in_memory,trend_only
2019-01-11T00:00:00+00:00,USDJPY,flat,0.0,trend,0.5352951271245051,CHOP,,0.5352951271245051,0.4647048728754949,0.7,in_memory,trend_only
2019-01-11T00:00:00+00:00,AUDUSD,long,1.0,trend,0.7061437160763328,CHOP,,0.7061437160763328,0.29385628392366725,0.7,in_memory,trend_only
2019-01-11T00:00:00+00:00,USDCAD,flat,0.0,trend,0.5267275972615081,CHOP,,0.5267275972615081,0.4732724027384919,0.7,in_memory,trend_only
2019-01-14T00:00:00+00:00,EURUSD,flat,0.0,trend,0.5234361998155811,TREND,,0.4765638001844189,0.5234361998155811,0.7,in_memory,trend_only
2019-01-14T00:00:00+00:00,GBPUSD,flat,0.0,trend,0.6677504800438449,TREND,,0.33224951995615515,0.6677504800438449,0.7,in_memory,trend_only
2019-01-14T00:00:00+00:00,USDJPY,flat,0.0,trend,0.5434421778935795,TREND,,0.5434421778935795,0.4565578221064205,0.7,in_memory,trend_only
2019-01-14T00:00:00+00:00,AUDUSD,flat,0.0,trend,0.6791593722930965,TREND,,0.6791593722930965,0.32084062770690347,0.7,in_memory,trend_only
2019-01-14T00:00:00+00:00,USDCAD,flat,0.0,trend,0.5594874592449469,TREND,,0.5594874592449469,0.4405125407550531,0.7,in_memory,trend_only
2019-01-15T00:00:00+00:00,EURUSD,flat,0.0,trend,0.5287162846579342,CHOP,,0.4712837153420658,0.5287162846579342,0.7,in_memory,trend_only
2019-01-15T00:00:00+00:00,GBPUSD,short,1.0,trend,0.7726408796056453,CHOP,,0.22735912039435466,0.7726408796056453,0.7,in_memory,trend_only
2019-01-15T00:00:00+00:00,USDJPY,flat,0.0,trend,0.5341207702265608,CHOP,,0.5341207702265608,0.4658792297734392,0.7,in_memory,trend_only
2019-01-15T00:00:00+00:00,AUDUSD,flat,0.0,trend,0.6638564663622734,CHOP,,0.6638564663622734,0.33614353363772664,0.7,in_memory,trend_only
2019-01-15T00:00:00+00:00,USDCAD,flat,0.0,trend,0.6145147346911646,CHOP,,0.6145147346911646,0.3854852653088354,0.7,in_memory,trend_only
2019-01-16T00:00:00+00:00,EURUSD,flat,0.0,trend,0.5832832769819004,TREND,,0.5832832769819004,0.4167167230180996,0.7,in_memory,trend_only
2019-01-16T00:00:00+00:00,GBPUSD,flat,0.0,trend,0.594200864106713,TREND,,0.405799135893287,0.594200864106713,0.7,in_memory,trend_only
2019-01-16T00:00:00+00:00,USDJPY,flat,0.0,trend,0.5223510848258149,TREND,,0.5223510848258149,0.47764891517418506,0.7,in_memory,trend_only
2019-01-16T00:00:00+00:00,AUDUSD,flat,0.0,trend,0.6101174733401129,TREND,,0.6101174733401129,0.3898825266598871,0.7,in_memory,trend_only
