timestamp,pairs_alloc,trend_alloc,total_alloc,regime_label,mode
2019-01-01T00:00:00+00:00,0.0,0.0,0.0,RISK_OFF,hybrid
2019-01-02T00:00:00+00:00,0.0,0.0,0.0,RISK_OFF,hybrid
2019-01-03T00:00:00+00:00,0.0,0.0,0.0,RISK_OFF,hybrid
2019-01-04T00:00:00+00:00,0.0,0.0,0.0,RISK_OFF,hybrid
2019-01-07T00:00:00+00:00,0.0,0.0,0.0,RISK_OFF,hybrid
2019-01-08T00:00:00+00:00,0.0,0.0,0.0,RISK_OFF,hybrid
2019-01-09T00:00:00+00:00,0.0,0.0,0.0,RISK_OFF,hybrid
2019-01-10T00:00:00+00:00,0.0,2.0,2.0,TREND,hybrid
2019-01-11T00:00:00+00:00,0.0,0.0,0.0,CHOP,hybrid
2019-01-14T00:00:00+00:00,0.0,0.0,0.0,TREND,hybrid
2019-01-15T00:00:00+00:00,0.0,0.0,0.0,CHOP,hybrid
2019-01-16T00:00:00+00:00,0.0,1.0,1.0,TREND,hybrid
2019-01-17T00:00:00+00:00,0.0,0.0,0.0,CHOP,hybrid
2019-01-18T00:00:00+00:00,0.0,2.0,2.0,TREND,hybrid
2019-01-21T00:00:00+00:00,0.0,0.0,0.0,CHOP,hybrid
2019-01-22T00:00:00+00:00,0.0,2.0,2.0,TREND,hybrid
2019-01-23T00:00:00+00:00,0.0,0.0,0.0,CHOP,hybrid
2019-01-24T00:00:00+00:00,0.0,5.0,5.0,TREND,hybrid
2019-01-25T00:00:00+00:00,0.0,0.0,0.0,CHOP,hybrid
2019-01-28T00:00:00+00:00,0.0,5.0,5.0,TREND,hybrid
2019-01-29T00:00:00+00:00,0.0,0.0,0.0,CHOP,hybrid
2019-01-30T00:00:00+00:00,0.0,5.0,5.0,TREND,hybrid
2019-01-31T00:00:00+00:00,0.0,0.0,0.0,CHOP,hybrid
2019-02-01T00:00:00+00:00,0.0,3.0,3.0,TREND,hybrid
2019-02-04T00:00:00+00:00,0.0,0.0,0.0,CHOP,hybrid
2019-02-05T00:00:00+00:00,0.0,3.0,3.0,TREND,hybrid
2019-02-06T00:00:00+00:00,0.0,0.0,0.0,CHOP,hybrid
2019-02-07T00:00:00+00:00,0.0,3.0,3.0,TREND,hybrid
2019-02-08T00:00:00+00:00,0.0,0.0,0.0,CHOP,hybrid
2019-02-11T00:00:00+00:00,0.0,2.0,2.0,TREND,hybrid
2019-02-12T00:00:00+00:00,0.0,2.0,2.0,TREND,hybrid
2019-02-13T00:00:00+00:00,0.0,2.0,2.0,TREND,hybrid
2019-02-14T00:00:00+00:00,0.0,0.0,0.0,TREND,hybrid
2019-02-15T00:00:00+00:00,0.0,0.0,0.0,TREND,hybrid
2019-02-18T00:00:00+00:00,0.0,2.0,2.0,TREND,hybrid
2019-02-19T00:00:00+00:00,0.0,3.0,3.0,TREND,hybrid
2019-02-20T00:00:00+00:00,0.0,3.0,3.0,TREND,hybrid
2019-02-21T00:00:00+00:00,0.0,3.0,3.0,TREND,hybrid
2019-02-22T00:00:00+00:00,0.0,3.0,3.0,TREND,hybrid
2019-02-25T00:00:00+00:00,0.0,3.0,3.0,TREND,hybrid
2019-02-26T00:00:00+00:00,0.0,3.0,3.0,TREND,hybrid
2019-02-27T00:00:00+00:00,0.0,0.0,0.0,RISK_OFF,hybrid
2019-02-28T00:00:00+00:00,0.0,0.0,0.0,RISK_OFF,hybrid
2019-03-01T00:00:00+00:00,0.0,0.0,0.0,RISK_OFF,hybrid
2019-03-04T00:00:00+00:00,0.0,0.0,0.0,RISK_OFF,hybrid
2019-03-05T00:00:00+00:00,0.0,0.0,0.0,RISK_OFF,hybrid
2019-03-06T00:00:00+00:00,0.0,0.0,0.0,RISK_OFF,hybrid
2019-03-07T00:00:00+00:00,0.0,0.0,0.0,RISK_OFF,hybrid
2019-03-08T00:00:00+00:00,0.0,0.0,0.0,RISK_OFF,hybrid
2019-03-11T00:00:00+00:00,0.0,0.0,0.0,RISK_OFF,hybrid
2019-03-12T00:00:00+00:00,0.0,0.0,0.0,RISK_OFF,hybrid
2019-03-13T00:00:00+00:00,0.0,0.0,0.0,RISK_OFF,hybrid
2019-03-14T00:00:00+00:00,0.0,0.0,0.0,RISK_OFF,hybrid
2019-03-15T00:00:00+00:00,0.0,0.0,0.0,RISK_OFF,hybrid
2019-03-18T00:00:00+00:00,0.0,0.0,0.0,RISK_OFF,hybrid
2019-03-19T00:00:00+00:00,0.0,0.0,0.0,RISK_OFF,hybrid
2019-03-20T00:00:00+00:00,0.0,0.0,0.0,RISK_OFF,hybrid
2019-03-21T00:00:00+00:00,0.0,0.0,0.0,RISK_OFF,hybrid
2019-03-22T00:00:00+00:00,0.0,0.0,0.0,RISK_OFF,hybrid
2019-03-25T00:00:00+00:00,0.0,0.0,0.0,CHOP,hybrid
2019-03-26T00:00:00+00:00,0.0,0.0,0.0,CHOP,hybrid
2019-03-27T00:00:00+00:00,0.0,0.0,0.0,CHOP,hybrid
2019-03-28T00:00:00+00:00,0.0,0.0,0.0,CHOP,hybrid
2019-03-29T00:00:00+00:00,0.0,0.0,0.0,CHOP,hybrid
