timestamp,symbol,direction,size,engine_source,confidence,regime_label,pair_id,mode
2019-01-10T00:00:00+00:00,EURUSD,flat,0.0,trend,1.0,TREND,,hybrid
2019-01-10T00:00:00+00:00,GBPUSD,flat,0.0,trend,1.0,TREND,,hybrid
2019-01-10T00:00:00+00:00,USDJPY,flat,0.0,trend,1.0,TREND,,hybrid
2019-01-10T00:00:00+00:00,AUDUSD,flat,0.0,trend,1.0,TREND,,hybrid
2019-01-10T00:00:00+00:00,USDCAD,flat,0.0,trend,1.0,TREND,,hybrid
2019-01-14T00:00:00+00:00,EURUSD,flat,0.0,trend,1.0,TREND,,hybrid
2019-01-14T00:00:00+00:00,GBPUSD,flat,0.0,trend,1.0,TREND,,hybrid
2019-01-14T00:00:00+00:00,USDJPY,flat,0.0,trend,1.0,TREND,,hybrid
2019-01-14T00:00:00+00:00,AUDUSD,flat,0.0,trend,1.0,TREND,,hybrid
2019-01-14T00:00:00+00:00,USDCAD,flat,0.0,trend,1.0,TREND,,hybrid
2019-01-16T00:00:00+00:00,EURUSD,flat,0.0,trend,1.0,TREND,,hybrid
2019-01-16T00:00:00+00:00,GBPUSD,flat,0.0,trend,1.0,TREND,,hybrid
2019-01-16T00:00:00+00:00,USDJPY,flat,0.0,trend,1.0,TREND,,hybrid
2019-01-16T00:00:00+00:00,AUDUSD,flat,0.0,trend,1.0,TREND,,hybrid
2019-01-16T00:00:00+00:00,USDCAD,flat,0.0,trend,1.0,TREND,,hybrid
2019-01-18T00:00:00+00:00,EURUSD,flat,0.0,trend,1.0,TREND,,hybrid
2019-01-18T00:00:00+00:00,GBPUSD,flat,0.0,trend,1.0,TREND,,hybrid
2019-01-18T00:00:00+00:00,USDJPY,flat,0.0,trend,1.0,TREND,,hybrid
2019-01-18T00:00:00+00:00,AUDUSD,flat,0.0,trend,1.0,TREND,,hybrid
2019-01-18T00:00:00+00:00,USDCAD,flat,0.0,trend,1.0,TREND,,hybrid
2019-01-22T00:00:00+00:00,EURUSD,flat,0.0,trend,1.0,TREND,,hybrid
2019-01-22T00:00:00+00:00,GBPUSD,flat,0.0,trend,1.0,TREND,,hybrid
2019-01-22T00:00:00+00:00,USDJPY,flat,0.0,trend,1.0,TREND,,hybrid
2019-01-22T00:00:00+00:00,AUDUSD,flat,0.0,trend,1.0,TREND,,hybrid
2019-01-22T00:00:00+00:00,USDCAD,flat,0.0,trend,1.0,TREND,,hybrid
2019-01-24T00:00:00+00:00,EURUSD,flat,0.0,trend,1.0,TREND,,hybrid
2019-01-24T00:00:00+00:00,GBPUSD,short,1.0,trend,0.731524334423366,TREND,,hybrid
2019-01-24T00:00:00+00:00,USDJPY,flat,0.0,trend,1.0,TREND,,hybrid
2019-01-24T00:00:00+00:00,AUDUSD,flat,0.0,trend,1.0,TREND,,hybrid
2019-01-24T00:00:00+00:00,USDCAD,flat,0.0,trend,1.0,TREND,,hybrid
2019-01-28T00:00:00+00:00,EURUSD,flat,0.0,trend,1.0,TREND,,hybrid
2019-01-28T00:00:00+00:00,GBPUSD,short,1.0,trend,0.7120717667125191,TREND,,hybrid
2019-01-28T00:00:00+00:00,USDJPY,flat,0.0,trend,1.0,TREND,,hybrid
2019-01-28T00:00:00+00:00,AUDUSD,flat,0.0,trend,1.0,TREND,,hybrid
2019-01-28T00:00:00+00:00,USDCAD,flat,0.0,trend,1.0,TREND,,hybrid
2019-01-30T00:00:00+00:00,EURUSD,flat,0.0,trend,1.0,TREND,,hybrid
2019-01-30T00:00:00+00:00,GBPUSD,short,1.0,trend,0.747714055862769,TREND,,hybrid
2019-01-30T00:00:00+00:00,USDJPY,flat,0.0,trend,1.0,TREND,,hybrid
2019-01-30T00:00:00+00:00,AUDUSD,flat,0.0,trend,1.0,TREND,,hybrid
2019-01-30T00:00:00+00:00,USDCAD,short,1.0,trend,0.7199684544141197,TREND,,hybrid
2019-02-01T00:00:00+00:00,EURUSD,flat,0.0,trend,1.0,TREND,,hybrid
2019-02-01T00:00:00+00:00,GBPUSD,short,1.0,trend,0.7243083145813831,TREND,,hybrid
2019-02-01T00:00:00+00:00,USDJPY,flat,0.0,trend,1.0,TREND,,hybrid
2019-02-01T00:00:00+00:00,AUDUSD,flat,0.0,trend,1.0,TREND,,hybrid
2019-02-01T00:00:00+00:00,USDCAD,short,1.0,trend,0.7038136968234928,TREND,,hybrid
2019-02-05T00:00:00+00:00,EURUSD,flat,0.0,trend,1.0,TREND,,hybrid
2019-02-05T00:00:00+00:00,GBPUSD,short,1.0,trend,0.7254556012141782,TREND,,hybrid
2019-02-05T00:00:00+00:00,USDJPY,flat,0.0,trend,1.0,TREND,,hybrid
2019-02-05T00:00:00+00:00,AUDUSD,flat,0.0,trend,1.0,TREND,,hybrid
2019-02-05T00:00:00+00:00,USDCAD,short,1.0,trend,0.7103540392276861,TREND,,hybrid
2019-02-07T00:00:00+00:00,EURUSD,flat,0.0,trend,1.0,TREND,,hybrid
2019-02-07T00:00:00+00:00,GBPUSD,flat,0.0,trend,1.0,TREND,,hybrid
2019-02-07T00:00:00+00:00,USDJPY,flat,0.0,trend,1.0,TREND,,hybrid
2019-02-07T00:00:00+00:00,AUDUSD,flat,0.0,trend,1.0,TREND,,hybrid
2019-02-07T00:00:00+00:00,USDCAD,flat,0.0,trend,1.0,TREND,,hybrid
2019-02-11T00:00:00+00:00,EURUSD,flat,0.0,trend,1.0,TREND,,hybrid
2019-02-11T00:00:00+00:00,GBPUSD,flat,0.0,trend,1.0,TREND,,hybrid
2019-02-11T00:00:00+00:00,USDJPY,flat,0.0,trend,1.0,TREND,,hybrid
2019-02-11T00:00:00+00:00,AUDUSD,flat,0.0,trend,1.0,TREND,,hybrid
2019-02-11T00:00:00+00:00,USDCAD,flat,0.0,trend,1.0,TREND,,hybrid
2019-02-12T00:00:00+00:00,EURUSD,flat,0.0,trend,1.0,TREND,,hybrid
2019-02-12T00:00:00+00:00,GBPUSD,flat,0.0,trend,1.0,TREND,,hybrid
2019-02-12T00:00:00+00:00,USDJPY,flat,0.0,trend,1.0,TREND,,hybrid
2019-02-12T00:00:00+00:00,AUDUSD,flat,0.0,trend,1.0,TREND,,hybrid
2019-02-12T00:00:00+00:00,USDCAD,flat,0.0,trend,1.0,TREND,,hybrid
2019-02-13T00:00:00+00:00,EURUSD,flat,0.0,trend,1.0,TREND,,hybrid
2019-02-13T00:00:00+00:00,GBPUSD,flat,0.0,trend,1.0,TREND,,hybrid
2019-02-13T00:00:00+00:00,USDJPY,flat,0.0,trend,1.0,TREND,,hybrid
2019-02-13T00:00:00+00:00,AUDUSD,flat,0.0,trend,1.0,TREND,,hybrid
2019-02-13T00:00:00+00:00,USDCAD,flat,0.0,trend,1.0,TREND,,hybrid
2019-02-14T00:00:00+00:00,EURUSD,flat,0.0,trend,1.0,TREND,,hybrid
2019-02-14T00:00:00+00:00,GBPUSD,flat,0.0,trend,1.0,TREND,,hybrid
2019-02-14T00:00:00+00:00,USDJPY,flat,0.0,trend,1.0,TREND,,hybrid
2019-02-14T00:00:00+00:00,AUDUSD,flat,0.0,trend,1.0,TREND,,hybrid
2019-02-14T00:00:00+00:00,USDCAD,flat,0.0,trend,1.0,TREND,,hybrid
2019-02-15T00:00:00+00:00,EURUSD,flat,0.0,trend,1.0,TREND,,hybrid
2019-02-15T00:00:00+00:00,GBPUSD,flat,0.0,trend,1.0,TREND,,hybrid
