entry_timestamp,exit_timestamp,symbol,engine_source,entry_regime,exit_regime,pair_id,entry_price,exit_price,entry_weight,entry_regime_prob_trend,entry_regime_prob_chop,entry_regime_prob_risk_off,close_reason,pnl,mode
2019-01-10T00:00:00+00:00,2019-01-11T00:00:00+00:00,GBPUSD,trend,TREND,CHOP,,145.28685687767998,145.02783224617286,-1.0,0.43942414982303757,0.42434858869589476,0.13622726148107203,signal_flip_or_flat,0.001782849715891377,trend_only
2019-01-10T00:00:00+00:00,2019-01-14T00:00:00+00:00,AUDUSD,trend,TREND,TREND,,141.9868963623591,141.7341650524406,1.0,0.43942414982303757,0.42434858869589476,0.13622726148107203,signal_flip_or_flat,-0.0017799622105514334,trend_only
2019-01-15T00:00:00+00:00,2019-01-16T00:00:00+00:00,GBPUSD,trend,CHOP,TREND,,145.4311470474873,144.87749588539484,-1.0,0.48137300271421646,0.5180907258669665,0.0005362714188288994,signal_flip_or_flat,0.0038039089346787124,trend_only
2019-01-16T00:00:00+00:00,2019-01-17T00:00:00+00:00,USDCAD,trend,TREND,CHOP,,145.8086610192641,147.4783824786037,1.0,0.5078729236248236,0.49188614451270396,0.00024093186246946233,signal_flip_or_flat,0.011483528930859967,trend_only
2019-01-17T00:00:00+00:00,2019-01-18T00:00:00+00:00,EURUSD,trend,CHOP,TREND,,141.95455178308407,142.3301695289957,-1.0,0.4799002500052867,0.5193712275635406,0.0007285224311859019,signal_flip_or_flat,-0.002682765622774809,trend_only
2019-01-24T00:00:00+00:00,2019-01-29T00:00:00+00:00,EURUSD,trend,TREND,CHOP,,141.51588549970108,141.26903921496944,-0.6,0.505516177244321,0.49277736377660464,0.0017064589790869366,signal_flip_or_flat,0.0010472862105981298,trend_only
2019-01-24T00:00:00+00:00,2019-02-01T00:00:00+00:00,AUDUSD,trend,TREND,TREND,,142.7148678086771,142.61731437703224,-0.6,0.505516177244321,0.49277736377660464,0.0017064589790869366,signal_flip_or_flat,0.00041040941492074623,trend_only
2019-01-30T00:00:00+00:00,2019-02-01T00:00:00+00:00,EURUSD,trend,TREND,TREND,,141.6687291957575,141.66563988495116,-0.6,0.5029940572329711,0.4920905071684933,0.0049154355985465865,signal_flip_or_flat,1.3044618631141005e-05,trend_only
2019-01-24T00:00:00+00:00,2019-02-11T00:00:00+00:00,USDJPY,trend,TREND,TREND,,149.14992387055167,148.6333680117396,-0.6,0.505516177244321,0.49277736377660464,0.0017064589790869366,signal_flip_or_flat,0.0020794009551438506,trend_only
2019-01-17T00:00:00+00:00,2019-02-14T00:00:00+00:00,GBPUSD,trend,CHOP,TREND,,146.2608612083048,146.31410387722786,-1.0,0.4799002500052867,0.5193712275635406,0.0007285224311859019,signal_flip_or_flat,-0.0003690775630573445,trend_only
2019-01-18T00:00:00+00:00,2019-02-14T00:00:00+00:00,USDCAD,trend,TREND,TREND,,148.81633010403357,146.28418211466598,-1.0,0.5064728617620264,0.4922512195264734,0.0012759187115008318,signal_flip_or_flat,0.017060096192048357,trend_only
2019-02-19T00:00:00+00:00,2019-02-20T00:00:00+00:00,USDCAD,trend,TREND,TREND,,147.3343231255205,147.48335687628804,-1.0,0.737502164491103,0.23507376153707218,0.027424073971816874,signal_flip_or_flat,-0.0010321372929901341,trend_only
2019-02-18T00:00:00+00:00,2019-02-25T00:00:00+00:00,USDJPY,trend,TREND,TREND,,148.79689972803112,148.52115399931898,1.0,0.7357429916201921,0.23668409699849344,0.02757291138131768,signal_flip_or_flat,-0.0018964581695744647,trend_only
2019-02-25T00:00:00+00:00,2019-02-26T00:00:00+00:00,USDCAD,trend,TREND,TREND,,147.25982216374038,146.5349968110935,-1.0,0.4476417451042447,0.14568251803270796,0.4066757368630569,signal_flip_or_flat,0.004945601428848605,trend_only
2019-02-20T00:00:00+00:00,2019-02-27T00:00:00+00:00,EURUSD,trend,TREND,RISK_OFF,,139.52670840355006,138.79907649679026,1.0,0.7405677019305982,0.23845827055654437,0.020974027512851268,signal_flip_or_flat,-0.005283644328258498,trend_only
2019-02-18T00:00:00+00:00,2019-02-27T00:00:00+00:00,GBPUSD,trend,TREND,RISK_OFF,,147.19471354288888,149.23072165690573,-1.0,0.7357429916201921,0.23668409699849344,0.02757291138131768,signal_flip_or_flat,-0.014155188207993382,trend_only
2019-02-26T00:00:00+00:00,2019-02-27T00:00:00+00:00,USDJPY,trend,TREND,RISK_OFF,,147.93549188013762,148.22098586151625,1.0,0.22643896338008881,0.07368781532425286,0.6998732212956621,signal_flip_or_flat,0.0019515878268421079,trend_only
2019-03-25T00:00:00+00:00,2019-03-29T00:00:00+00:00,AUDUSD,trend,CHOP,END,,146.82961939647467,148.4218970155426,-0.6,0.46290599896930507,0.46445405834645337,0.07263994268425121,end_of_test,-0.006542991996881625,trend_only
2019-03-25T00:00:00+00:00,2019-03-29T00:00:00+00:00,EURUSD,trend,CHOP,END,,142.2403687432869,144.38323895324058,-0.6,0.46290599896930507,0.46445405834645337,0.07263994268425121,end_of_test,-0.009089589479061957,trend_only
2019-03-25T00:00:00+00:00,2019-03-29T00:00:00+00:00,GBPUSD,trend,CHOP,END,,154.90888587342246,156.57459537389786,-0.6,0.46290599896930507,0.46445405834645337,0.07263994268425121,end_of_test,-0.0064877514544756385,trend_only
2019-03-25T00:00:00+00:00,2019-03-29T00:00:00+00:00,USDCAD,trend,CHOP,END,,150.9736597291343,153.447428651825,-0.6,0.46290599896930507,0.46445405834645337,0.07263994268425121,end_of_test,-0.009886196033461001,trend_only
2019-03-25T00:00:00+00:00,2019-03-29T00:00:00+00:00,USDJPY,trend,CHOP,END,,149.96696272502743,151.40074954724545,-0.6,0.46290599896930507,0.46445405834645337,0.07263994268425121,end_of_test,-0.005768464975908179,trend_only
