timestamp,symbol,prev_weight,target_weight,delta_weight,price,engine_source,regime_label,pair_id,commission_bps,slippage_bps,mode
2019-01-24T00:00:00+00:00,GBPUSD,0.0,-1.0,-1.0,148.13864283819726,trend,TREND,,1.0,1.0,trend_only
2019-01-30T00:00:00+00:00,USDCAD,0.0,-1.0,-1.0,148.3208579070073,trend,TREND,,1.0,1.0,trend_only
2019-02-04T00:00:00+00:00,USDCAD,-1.0,0.0,1.0,146.62079732288305,trend,CHOP,,1.0,1.0,trend_only
2019-02-05T00:00:00+00:00,USDCAD,0.0,-1.0,-1.0,147.05229963666199,trend,TREND,,1.0,1.0,trend_only
2019-02-06T00:00:00+00:00,USDCAD,-1.0,0.0,1.0,147.08102980583823,trend,CHOP,,1.0,1.0,trend_only
2019-02-07T00:00:00+00:00,GBPUSD,-1.0,0.0,1.0,147.62475337144892,trend,TREND,,1.0,1.0,trend_only
2019-03-25T00:00:00+00:00,GBPUSD,0.0,-1.0,-1.0,154.90888587342246,trend,CHOP,,1.0,1.0,trend_only
2019-03-25T00:00:00+00:00,USDCAD,0.0,-1.0,-1.0,150.9736597291343,trend,CHOP,,1.0,1.0,trend_only
2019-03-26T00:00:00+00:00,GBPUSD,-1.0,0.0,1.0,154.8053204089732,trend,CHOP,,1.0,1.0,trend_only
2019-03-26T00:00:00+00:00,USDCAD,-1.0,0.0,1.0,150.70719312180654,trend,CHOP,,1.0,1.0,trend_only
2019-03-27T00:00:00+00:00,USDCAD,0.0,-1.0,-1.0,151.64584181321052,trend,CHOP,,1.0,1.0,trend_only
2019-03-29T00:00:00+00:00,EURUSD,0.0,-1.0,-1.0,144.38323895324058,trend,CHOP,,1.0,1.0,trend_only
2019-03-29T00:00:00+00:00,GBPUSD,0.0,-1.0,-1.0,156.57459537389786,trend,CHOP,,1.0,1.0,trend_only
